iter	Logloss
0	0.5916973039
1	0.5115009983
2	0.451895115
3	0.4020671807
4	0.3631437329
5	0.3344887379
6	0.3124694086
7	0.2945570605
8	0.2807140387
9	0.2697468913
10	0.2602905789
11	0.2522605694
12	0.246107233
13	0.2408109996
14	0.2363791908
15	0.232092114
16	0.2289430082
17	0.2261324954
18	0.22368719
19	0.2212718239
20	0.2193530047
21	0.2177234909
22	0.2161007803
23	0.2143321299
24	0.2129481883
25	0.2116716412
26	0.2101085282
27	0.2085069934
28	0.2072490986
29	0.2062840348
30	0.2051217431
31	0.2040731722
32	0.2028404398
33	0.201842885
34	0.2008369681
35	0.1994340542
36	0.1986097449
37	0.1977311041
38	0.1967445987
39	0.1959582334
40	0.1951947814
41	0.1942542946
42	0.1934075245
43	0.1926589276
44	0.1920519558
45	0.1914719706
46	0.1908587893
47	0.1903284274
48	0.1895604546
49	0.1887731478
50	0.1882590783
51	0.1877088068
52	0.1870314616
53	0.1865518007
54	0.1859024236
55	0.1852846803
56	0.1848288919
57	0.1840410428
58	0.183262073
59	0.1828022484
60	0.1823619109
61	0.1818540434
62	0.1814229701
63	0.1810486938
64	0.1806078344
65	0.1801412556
66	0.1797511365
67	0.179117281
68	0.1787613547
69	0.1782988272
70	0.1778470904
71	0.1774383355
72	0.1769127603
73	0.176584854
74	0.1760009346
75	0.1756334425
76	0.1752706828
77	0.1749550377
78	0.1744896643
79	0.1739179061
80	0.1735316696
81	0.1732116637
82	0.1729127386
83	0.1724381591
84	0.1721238512
85	0.171770288
86	0.1714178222
87	0.1710367039
88	0.1707870864
89	0.1703623479
90	0.1700918323
91	0.1697593218
92	0.1693981518
93	0.1691347114
94	0.1688640518
95	0.1683910312
96	0.1681053926
97	0.1678149305
98	0.1675855172
99	0.1673354902
100	0.1670786699
101	0.1668043881
102	0.1664045143
103	0.1661333257
104	0.1659159095
105	0.165615178
106	0.1653413433
107	0.1651000554
108	0.1648676716
109	0.1646454325
110	0.1642597318
111	0.1640342923
112	0.1637792503
113	0.1635049591
114	0.1631669365
115	0.1629294268
116	0.1625312912
117	0.1623185219
118	0.1621084334
119	0.161877727
120	0.1616218153
121	0.1613481345
122	0.1609486543
123	0.160730432
124	0.1605073461
125	0.1603085355
126	0.1600233774
127	0.1597282762
128	0.1595469966
129	0.1593263414
130	0.1591238367
131	0.1588733028
132	0.1586439922
133	0.1584527816
134	0.1581749398
135	0.1579948598
136	0.1577868872
137	0.1576056456
138	0.157290763
139	0.157087654
140	0.1569161244
141	0.1567282765
142	0.1565335348
143	0.1562886053
144	0.156089334
145	0.1559042797
146	0.1557250661
147	0.1555266516
148	0.1552677227
149	0.1550138559
150	0.1547737919
151	0.1546306869
152	0.1544512048
153	0.1542727335
154	0.1540204011
155	0.1536759101
156	0.1534399009
157	0.1531577443
158	0.1529936123
159	0.1527831008
160	0.152610724
161	0.1524597472
162	0.1522424511
163	0.1520604754
164	0.1518903563
165	0.1517277668
166	0.151550201
167	0.1513722967
168	0.1511910198
169	0.1509775797
170	0.1508524416
171	0.150627855
172	0.1503721185
173	0.1501694234
174	0.1499998844
175	0.1498010491
176	0.1496664894
177	0.149509381
178	0.1493676868
179	0.14922224
180	0.1490692566
181	0.1489484832
182	0.1487645233
183	0.1485353836
