iter	Passed	Remaining
0	574	286467
1	1099	273763
2	1608	266548
3	2156	267409
4	2697	267064
5	3215	264707
6	3720	261995
7	4238	260656
8	4767	260096
9	5280	258756
10	5825	258962
11	6342	257909
12	6861	257040
13	7376	256076
14	7896	255333
15	8403	254210
16	8907	253083
17	9417	252172
18	9916	251039
19	10421	250124
20	10917	249023
21	11437	248512
22	11944	247708
23	12458	247094
24	12954	246129
25	13458	245366
26	13958	244533
27	14489	244252
28	15022	243989
29	15534	243380
30	16036	242616
31	16542	241928
32	17073	241610
33	17618	241479
34	18199	241795
35	18735	241478
36	19232	240663
37	19726	239838
38	20247	239335
39	20739	238501
40	21234	237725
41	21747	237146
42	22255	236528
43	22758	235855
44	23243	235017
45	23721	234121
46	24208	233332
47	24697	232565
48	25203	231974
49	25678	231104
50	26162	230331
51	26650	229602
52	27161	229075
53	27649	228367
54	28140	227680
55	28650	227154
56	29143	226498
57	29671	226120
58	30164	225467
59	30654	224801
60	31152	224198
61	31651	223601
62	32140	222945
63	32620	222228
64	33118	221638
65	33651	221284
66	34157	220748
67	34687	220365
68	35192	219826
69	35707	219344
70	36222	218862
71	36738	218387
72	37245	217863
73	37748	217310
74	38271	216870
75	38777	216338
76	39282	215795
77	39781	215225
78	40308	214806
79	40840	214413
80	41371	214009
81	41862	213396
82	42352	212781
83	42843	212179
84	43334	211575
85	43820	210948
86	44310	210348
87	44808	209784
88	45301	209200
89	45830	208784
90	46315	208165
91	46839	207722
92	47343	207193
93	47858	206709
94	48363	206182
95	48907	205817
96	49431	205370
97	49967	204967
98	50459	204387
99	50962	203850
100	51516	203513
101	52062	203146
102	52540	202508
103	53017	201875
104	53496	201246
105	53975	200626
106	54454	200006
107	54929	199373
108	55414	198780
109	55893	198167
110	56384	197601
111	56867	197003
112	57352	196419
113	57855	195897
114	58352	195353
115	58830	194748
116	59346	194271
117	59819	193652
118	60293	193041
119	60770	192439
120	61270	191913
121	61759	191351
122	62262	190836
123	62740	190245
124	63223	189671
125	63704	189091
126	64199	188555
127	64701	188038
128	65188	187481
129	65672	186915
130	66142	186310
131	66619	185726
132	67111	185187
133	67584	184595
134	68071	184044
135	68543	183455
136	69040	182932
137	69520	182365
138	70100	182060
139	70604	181553
140	71179	181229
141	71652	180644
142	72124	180058
143	72625	179546
144	73111	178996
145	73592	178436
146	74064	177856
147	74552	177314
148	75036	176764
149	75521	176216
150	75994	175643
151	76464	175064
152	76944	174507
153	77415	173933
154	77915	173424
155	78435	172960
156	78935	172450
157	79431	171934
158	79906	171372
159	80395	170841
160	80867	170274
161	81343	169715
162	81840	169204
163	82332	168681
164	82829	168168
165	83324	167652
166	83803	167105
167	84290	166574
168	84774	166036
169	85289	165562
170	85770	165019
171	86268	164511
172	86775	164020
173	87268	163503
174	87741	162948
175	88230	162423
176	88698	161862
177	89174	161314
178	89654	160777
179	90128	160228
180	90598	159673
181	91069	159121
182	91564	158611
183	92063	158108
184	92550	157585
185	93037	157062
186	93528	156546
187	94012	156020
188	94512	155521
189	94995	154993
190	95485	154476
191	95964	153942
192	96505	153509
193	97017	153027
194	97494	152492
195	97982	151973
196	98513	151521
197	99027	151041
198	99548	150573
199	100094	150141
200	100581	149621
